keys,en,en_GB,es_VE,de
NO_TRANS,Unavailable translation,Unavailable translation,Texto sin traducir,Keine Übersetzung verfügbar
,,,,
INTRO,A game by IAmCheeseman,,,Ein Spiel von IAmCheeseman
,,,,
BACK_BTN,Back,"go back, m8",Atrás,Zurück
APP_BACK_BTN,Apply & Back,,,
EXIT_BTN,Exit,Gew back tew teh action,Continuar,Verlassen
QUIT_BTN,Quit,Col'oni's O'fer Gahms,Quitar,Verlassen
CLEAR_CONFIRM,Do you really want to clear your current game?,Do 'ew reel'eh wa'a cle'ah 'er curen' gahm?,¿En serio quieres borrar tu partida?,Möchtest du wirklich deinen derzeitigen Spielstand leeren?
QUIT_CONFIRM,Do you really want to quit?,Do 'ew reel'eh wa'a quit?,¿En serio quieres abandonar?,Möchtest du wirklich verlassen?
YES,Yes,Yea' I'm foine wi' tha' m8,Si,Ja
NO,No,Naw man',No,Nein
START_BTN,Start,Stah't,Empezar,Start
PLAY_BTN,Play,Plah,Jugar,Spielen
CONTINUE_BTN,Continue,keep goin' bruv,Continuar,Weiter
MAIN_MENU_BTN,Main Menu,Main Men'ew,Volver al Menú,Hauptmenü
INTERACT_RQST,Hit <interact> \n to,Heet <interact> \n tew,Presiona <interact> \n para,Benutze <interact> \n um
,,,,
GAME_OVER,You Died.,"ya lost, bruv",Fin del Juego,Spiel Vorbei
KILLS_GO,Kills:,Murdurs:,Bajas:,Tötungen
SCORE_GO,Score:,Ya poynts:,Puntuación:,Punkte
TIME_GO,Time:,Ya time:,Tiempo:,Zeit
TRY_AGAIN_GO,Try Again,I'll 'ave ano'er go,Reintentar,Erneut versuchen
EXIT_GO,Exit,I'll throw 'n da' towel,Salir,Verlassen
LEADERBOARDS_GO,Leaderboards,eh bes' o' 'eh bes',Puntuaciones:,Bestenliste
,,,,
CLOSE_MAP_PRMPT,Close Map,,,Karte schließen
,,,,
TIP_GO,Tip:,Sugges'ion:,Tip:,Tipp:
GIT_GUD_TT,Git gud.,Geat Gud.,Juega bien.,Werd' besser.
DONT_GET_HIT_TT,Don't get hit.,Don' ge' hi'.,No dejes que te hagan daño.,Lass dich nicht treffen.
